,ix,omental,size_at_met,beta_pt,beta_met,time_to_met,time_to_ca125,time_to_US,met_size_at_ca125,met_size_at_US
6790,6790,False,0.0836070562,0.008925911692689458,0.011585566652686986,109.54234399618281,93.28141266080756,129.423925175182,2.590644180583261e-12,3.689717059345963e-07
6791,6791,False,3.99019334,0.004724419260479934,0.007073454106773499,298.61275944912353,176.23788365791862,244.52244039779993,6.694368064872949e-27,1.5290495138424416e-15
6792,6792,True,0.000749423904,0.005736800247710275,0.0023643239343658306,110.94414535142113,149.2113181910462,208.245330718707,1.2546088460130131e-08,4.071284425599982e-07
6793,6793,True,1.04536906,0.007285717014362151,0.0009736312381188712,176.13217615874115,117.48953815694023,163.97313572522506,1.7940595819604487e-10,7.059449702395292e-10
6794,6794,True,0.0139645166,0.007693013880782709,0.00048464420250681823,110.50966453730369,111.26920351695493,155.2917859456713,1.010819726781207e-09,1.8734471414754723e-09
6795,6795,False,3.67071643,0.003981046401970052,0.006768131573305383,351.4505164816577,209.14643234694861,290.18162824307944,6.143585501719809e-30,3.8748672569250343e-16
6796,6796,False,1.22672942,0.0006721443500981673,0.0035896690091727548,1871.2525616865275,1238.7542227470742,1718.7179016921004,4.472333085587533e-118,8.017793779528593e-19
6797,6797,False,1.04536906,0.0025050053102585483,0.003133404542067342,494.48580308720267,332.3831883988124,461.1672966536301,5.520564772884889e-18,4.2360190185131586e-11
6798,6798,True,3.67071643,0.005974911539843078,0.02113116540704985,243.50642371221625,143.26497077847148,199.94636855878247,1.2313762359012422e-102,6.583177081649803e-29
6799,6799,False,2.45892441,0.0013166266126540638,0.005082971372787634,1021.6329641399336,632.3901127148638,877.4139273291842,1.7501017362971367e-87,3.211507296993772e-23
6800,6800,False,0.0139645166,0.004364637742310539,0.005102273633993328,189.48023029134703,190.76535124743754,264.6786732919952,1.2065500103435721e-09,9.459488594301008e-06
6801,6801,False,0.0139645166,0.014142333988412852,0.007793383879901869,58.477799013154176,58.87441582569604,81.6857053426561,1.0927154343126447e-09,1.1598371026936657e-07
6802,6802,False,0.0836070562,0.00208982938531367,0.0005261459445689026,467.86847576716536,398.4160897683623,552.7850910477702,3.432629964138429e-10,3.509050723270437e-09
6803,6803,False,0.000749423904,0.00207702806200442,0.003231551528413745,299.00392732015416,400.8716430996014,556.1920650797948,3.1605369540925867e-06,0.011029446402726191
6804,6804,True,0.0836070562,0.0008115255008861355,0.0018440425681255214,1241.7328218737227,1054.798063923902,1472.1186993472045,5.932670811192607e-15,2.485707313469774e-05
6805,6805,True,1.04536906,0.001851539699608032,0.0034034097420725913,693.071389659122,462.31551359162506,645.2261677697187,7.042462906945831e-25,5.678768377381046e-12
6806,6806,False,2.45892441,0.001346860179576495,0.004529916073691321,998.6999165527678,618.1945717940084,857.7182283302567,3.491250792303713e-67,7.027028529559716e-21
